"a","b","g","u","b1","b2","b3","b4","n_value","tinfo_gain","item"
0.725934151927939,NA,NA,NA,-6.98205253489642,1.13655684612521,3.69571163123861,NA,3000,224.503454077585,"Ea"
0.677773509534814,NA,NA,NA,-5.49060913428526,-0.65735826123465,1.5414165979239,2.67082867167565,3000,271.498915699507,"Eb"
0.411230310110367,NA,NA,NA,-15.309547667157,-9.36594419732178,4.74247405173929,6.24974425927537,3000,43.6703130530186,"Ed"
0.642050668118425,NA,NA,NA,-6.02375868391136,-1.0925406847617,2.52579808457767,4.99536454480489,3000,230.918697264442,"SC1a"
1.35575155168905,NA,NA,NA,1.64711288803631,1.94279528684405,2.50068586139098,4.00813030908823,3000,403.515834798109,"SC1b"
1.10959100242147,NA,NA,NA,-6.1359740274183,-5.67264926037609,6.31584248539547,NA,3000,10.8414981463175,"SC1c"
0.962624579979451,NA,NA,NA,-2.31670302771601,2.22393296378693,5.1332547622438,8.1014596784471,3000,352.996046065564,"SC1d"
1.17910653005277,NA,NA,NA,-4.96579427913836,-3.32442316400917,0.91569283581512,3.72133953913861,3000,541.262248662821,"SC2a"
1.50965740583267,NA,NA,NA,0.729888645037841,1.22991855907661,2.16978968128974,3.86654943306082,3000,826.897838009805,"SC2b"
1.48162435195966,NA,NA,NA,-4.8015633557158,0.82956410107396,3.27025074681257,4.4110887703124,2998,696.569972890476,"SC2d"
1.78771927839515,NA,NA,NA,-2.27790619822976,-1.26688729443347,0.260255506790744,2.64501607936225,3000,1602.25891523204,"SC3a"
3.23089216797987,NA,NA,NA,0.139378661440439,0.827156549294615,1.41848638164098,2.78871877094826,3000,3639.21289240562,"SC3b"
1.70708281735594,NA,NA,NA,-2.74219857915014,-2.62840158477153,2.22686055950013,NA,3000,415.614648205192,"SC3c"
2.85449450198034,NA,NA,NA,-0.558539501524299,0.655369733591272,2.90329371213491,NA,3000,3180.95300388033,"SC3d"
0.950447452385204,NA,NA,NA,-5.18386620612769,-2.49592376248661,1.87294017368532,4.57153917695683,3000,366.964270663615,"SC4a"
1.37135601742738,NA,NA,NA,1.22852768061231,2.01630328833624,2.45846167308348,5.98738921281318,3000,541.815006895817,"SC4b"
0.800768284344309,NA,NA,NA,-0.286160267114792,2.21977408395347,4.41012230999172,9.05928938435554,2999,344.075590351749,"SC4d"
0.938977908423368,NA,NA,NA,-5.1341693617933,-1.72806127971466,2.05124180324156,6.80884896794774,3000,409.252893406199,"SC5a"
1.89220275969628,NA,NA,NA,1.17940804915875,1.52781141406018,1.82798780492684,4.37577614609415,3000,832.501785670796,"SC5b"
0.70279924476226,NA,NA,NA,-7.77804037932742,-7.69099195531316,10.1830116247423,NA,3000,6.25057030658354,"SC5c"
1.08992160661608,NA,NA,NA,-0.460994057348476,1.95191514719218,3.54339475006581,NA,3000,608.566576195732,"SC5d"
