"","a","b1","b2"
"q1p",1.3023611050106,0.349881570214505,1.89476346734042
"q2p",1.42323071075706,1.23930097839437,2.65858707277974
"q3p",2.16127720848581,0.868742348453956,2.08079001464755
"q4p",1.85541376286917,0.403294741960262,1.54085897320564
"q5p",1.37629955108231,0.480410340296777,1.93056340828646
"q6p",3.031481120747,0.540938905303554,1.45324112974909
"q7p",2.53906947674182,0.65432264146766,2.069340990365
"q8p",0.537720737725225,1.08572377413142,4.38364037678388
"q9p",2.55713224780442,0.770710467261867,1.9785159994051
"q10p",2.09196399100446,0.878062506571456,2.0292447701078
"q11p",1.15718387384729,-0.141441967111511,1.59734210830553
"q12p",0.837888659282126,-0.172286897002931,2.38246061472074
"q13p",0.808405721681614,0.292175061159889,2.71279062071126
"q14p",2.17747348603578,0.441042018130186,1.59702364720308
"q15p",2.1856267311223,1.03706018213785,2.27904187865953
"q17p",0.88704269559727,1.00757709716615,2.24630299367604
"q18p",2.3373090415503,0.540674520152803,1.56271803294763
"q19p",2.68226999237704,0.688777052641611,1.70521635121043
"q20p",2.06278528587599,1.50152272232118,2.58281106117045
