"","a1","a2","b1","b2","d1","d2","d3","d4"
"q1p",1.42325518473428,0,-0.0577922202987546,1.37118794737186,NA,NA,NA,NA
"q2p",1.508948837468,0,0.787773707099088,2.11214895360564,NA,NA,NA,NA
"q3p",2.27613038719328,0,0.437853213235759,1.59255632533778,NA,NA,NA,NA
"q4p",1.94837469387149,0,0.00254214006970211,1.08331618810455,NA,NA,NA,NA
"q5p",1.46051578818336,0,0.0709500341095961,1.45150366757339,NA,NA,NA,NA
"q6p",3.20703205889997,0,0.13629689666713,0.998252213270302,NA,NA,NA,NA
"q7p",2.7402648783531,0,0.230830809312924,1.55015175821715,NA,NA,NA,NA
"q8p",0.568292945544708,0,0.636241352791991,3.73682777786387,NA,NA,NA,NA
"q9p",2.77614907390593,0,0.342900140498908,1.47025809060795,NA,NA,NA,NA
"q10p",2.17847895662542,0,0.454513771814139,1.54960945889579,NA,NA,NA,NA
"q11p",1.22118471489255,0,-0.515781332877272,1.12129325175377,NA,NA,NA,NA
"q12p",0.883675583095452,0,-0.556498998765972,1.86745537270453,NA,NA,NA,NA
"q13p",0.845788920848126,0,-0.0985897191017994,2.17730004254119,NA,NA,NA,NA
"q14p",2.28349751931174,0,0.0479624153096329,1.12971374032012,NA,NA,NA,NA
"q15p",2.28895048045211,0,0.600039496061392,1.78791436303633,NA,NA,NA,NA
"q17p",0.927392606501866,0,0.581999670394336,1.78710809287988,NA,NA,NA,NA
"q18p",2.43063015619387,0,0.128677077454251,1.10876777461776,NA,NA,NA,NA
"q19p",2.83264353221405,0,0.285690230039479,1.231235474275,NA,NA,NA,NA
"q20p",2.14907874479402,0,1.05047284500949,2.09126930433875,NA,NA,NA,NA
"GPT1",0.605122115366483,2.88423066229144,NA,NA,-1.13608763022571,-4.01119222594208,-6.09289170633043,-8.10221355336785
"GPT2",0.710919438090536,3.44895219887335,NA,NA,4.26764801709634,-0.69853021811393,-4.61440160177268,-10.1799148198961
"GPT3",0.68416761388209,4.86210938947508,NA,NA,4.34704954402261,-0.793365584165084,-4.44927409699198,-11.5181807223695
"GPT4",0.88262411221862,6.06192964068302,NA,NA,-3.68716545329546,-10.4653441869404,-18.1482667377581,NA
"GPT5",0.828918428365431,5.92559611436726,NA,NA,12.6079210245033,5.58408027541296,-0.64856655352474,-6.07694369153744
"GPT6",0.689614502488475,4.54259926822148,NA,NA,3.52719736434549,-1.17906923733533,-4.24354236590607,-7.99614081328577
"GPT7",0.800233667084187,4.6555309723209,NA,NA,3.41288460677285,-0.945361207768098,-5.50043531762443,-11.8719239820092
"GPT8",0.842612664116418,4.73225820755153,NA,NA,1.58865790159438,-3.94094732544647,-9.70120812430543,NA
"GPT9",0.834634609724912,3.29977977453404,NA,NA,-0.0835476860205213,-3.65008976095817,-6.1567156798868,-9.95753734048812
"GPT10",1.33162588877412,8.12734846360479,NA,NA,1.74249747281649,-4.53560214534683,-9.59364355412885,-17.6370875636342
