"","a","b1","b2"
"q1p",1.14446101365063,0.123998968562821,1.88759878482703
"q2p",1.22300143834756,1.14895175901063,2.79561732791609
"q3p",1.85731796936124,0.716537111846334,2.1225620829326
"q4p",1.61447359674172,0.180915177161714,1.49043202534988
"q5p",1.20263412271623,0.271437372066895,1.93370280489137
"q6p",2.56709033216989,0.335842114215363,1.39847890639159
"q7p",2.19696358204994,0.46761902482776,2.10483603980159
"q8p",0.485962230473618,0.945402454168638,4.60603931853724
"q9p",2.22713164951222,0.601801806494564,1.99682315039158
"q10p",1.82449296269779,0.725024079609517,2.05115258147952
"q11p",1.01832690103306,-0.435688040853473,1.54554390725013
"q12p",0.739822980124057,-0.466578696558985,2.43413143884366
"q13p",0.715771729809831,0.0600455902509409,2.80216286795124
"q14p",1.90651109244957,0.224592938422355,1.55195562071872
"q15p",1.89151472631673,0.911046979227136,2.34577506398412
"q17p",0.775099172243399,0.875672482388627,2.29404805089051
"q18p",2.02253427254441,0.338246110513459,1.51974478608464
"q19p",2.33329843218179,0.507255516713584,1.67972739869003
"q20p",1.78781346565968,1.44638143621122,2.6959586011955
