"","a","b1","b2","b3","b4"
"q1p",1.3727992169774,-0.0579739858408322,1.40748003904356,NA,NA
"q2p",1.50680076712767,0.784357186883814,2.12540284896999,NA,NA
"q3p",2.28558566145073,0.435287421674228,1.58164880315559,NA,NA
"q4p",1.94089536040085,-0.00750840072884373,1.07617605284277,NA,NA
"q5p",1.45253117909539,0.0663471497157564,1.44106737886947,NA,NA
"q6p",3.17454679750455,0.124304204625772,0.991074012097226,NA,NA
"q7p",2.70049290531717,0.23179627150619,1.56665347988609,NA,NA
"q8p",0.563697723672066,0.642018963020262,3.78683172969648,NA,NA
"q9p",2.70716246825735,0.342033488042342,1.484074444715,NA,NA
"q10p",2.2118230125928,0.443623805649063,1.53263686611293,NA,NA
"q11p",1.23269704862992,-0.521130626834387,1.11806873500977,NA,NA
"q12p",0.88153308363508,-0.55610113713542,1.87219287487112,NA,NA
"q13p",0.84800898973479,-0.114303865269907,2.19172513412213,NA,NA
"q14p",2.29394935798599,0.0291422869798002,1.12570059866659,NA,NA
"q15p",2.31946935025337,0.593836290167684,1.76558213144107,NA,NA
"q17p",0.936901575160788,0.564884450575368,1.73834905055364,NA,NA
"q18p",2.4579442280728,0.124047280456323,1.09402866912791,NA,NA
"q19p",2.82324828339293,0.264640139625577,1.22835201892081,NA,NA
"q20p",2.19181106499276,1.03215600421523,2.05075950044085,NA,NA
"GPT1",0.573470896510011,-0.374987608138063,5.83428526961691,8.4660733692475,10.9062493307576
