"a","b","c","d"
1.08358831203994,-0.626453810742332,0,1
1.27173591030581,0.183643324222082,0,1
0.979442454531401,-0.835628612410047,0,1
1.07753432231187,1.59528080213779,0,1
0.989238991883419,0.32950777181536,0,1
0.724588088634279,-0.820468384118015,0,1
0.917001087340064,0.487429052428485,0,1
0.92114200925793,0.738324705129217,0,1
0.988137320657763,0.575781351653492,0,1
1.22000507439678,-0.305388387156356,0,1
1.15263514969151,1.51178116845085,0,1
0.967095280749283,0.389843236411431,0,1
0.949327663972699,-0.621240580541804,0,1
1.13939267508095,-2.2146998871775,0,1
1.11133263973473,1.12493091814311,0,1
0.862248861090096,-0.0449336090152309,0,1
0.858500968607576,-0.0161902630989461,0,1
1.07291639242737,0.943836210685299,0,1
1.15370658490308,0.821221195098089,0,1
0.977530757569954,0.593901321217509,0,1
1.17622154529084,0.918977371608218,0,1
1.07962117607341,0.782136300731067,0,1
0.877594721349846,0.0745649833651906,0,1
1.06822393828489,-1.98935169586337,0,1
0.774127380783841,0.61982574789471,0,1
1.28660474034021,-0.0561287395290008,0,1
1.39607997970117,-0.155795506705329,0,1
0.926555704706698,-1.47075238389927,0,1
0.791173074736694,-0.47815005510862,0,1
